id_districtName,prop
"Arusha",.7025641
"Arusha Rural",.5961755
"Babati Rural",.4488079
"Babati Urban",.4912621
"Bagamoyo",.5424913
"Bahi",.3783784
"Bariadi",.3639576
"Biharamulo",.235443
"Bukoba Rural",.4433164
"Bukoba Urban",.6981132
"Bukombe",.4236038
"Bunda",.3810219
"Chamwino",.3739645
"Chato",.3957028
"Chunya",.4805492
"Dodoma Urban",.6076233
"Geita",.353914
"Hai",.5524957
"Hanang",.4651405
"Igunga",.3208556
"Ilala",.7107062
"Ileje",.5579618
"Ilemela",.6057269
"Iramba",.4548422
"Iringa Rural",.6014815
"Iringa Urban",.660221
"Kahama",.5893574
"Karagwe",.4119898
"Karatu",.573913
"Kasulu",.3035144
"Kibaha Rural",.5716216
"Kibaha Urban",.48582
"Kibondo",.3509036
"Kigoma Rural",.4369324
"Kigoma Urban",.5714286
"Kilindi",.2954023
"Kilolo",.4888143
"Kilombero",.5043478
"Kilosa",.3546735
"Kilwa",.4430605
"Kinondoni",.6290098
"Kisarawe",.55081
"Kishapu",.4440104
"Kiteto",.314554
"Kondoa",.3276596
"Kongwa",.3448276
"Korogwe",.4905933
"Korogwe Urban",.4930418
"Kwimba",.5221843
"Kyela",.6053883
"Lindi Rural",.3539652
"Lindi Urban",.4258312
"Liwale",.4304161
"Longido",.190234
"Ludewa",.5083333
"Lushoto",.4169884
"Mafia",.5257576
"Magu",.4203613
"Makete",.5328
"Manyoni",.5206125
"Masasi",.3125
"Maswa",.4974619
"Mbarali",.488189
"Mbeya Rural",.5292208
"Mbeya Urban",.816474
"Mbinga",.5118549
"Mbozi",.394309
"Mbulu",.445679
"Meatu",.3023983
"Meru",.5129151
"Misenyi",.532831
"Missungwi",.3126464
"Mkinga",.4374159
"Mkuranga",.4830097
"Monduli",.4307851
"Morogoro",.4309165
"Morogoro Urban",.7209302
"Moshi Rural",.5908183
"Moshi Urban",.8040124
"Mpanda",.4036786
"Mpanda Mjini",.5952626
"Mpwapwa",.3565621
"Mtwara Rural",.358209
"Mtwara Urban",.6235093
"Mufindi",.5307692
"Muheza",.4032922
"Muleba",.3657262
"Musoma Rural",.2466667
"Musoma Urban",.5302564
"Mvomero",.4526589
"Mwanga",.6814721
"Nachingwea",.4380952
"Namtumbo",.366129
"Nanyumbu",.4607465
"Newala",.4292566
"Ngara",.3365651
"Ngorongoro",.2485482
"Njombe",.5162037
"Njombe Mjini",.6292135
"Nkasi",.2858518
"Nyamagana",.5252225
"Nzega",.4039965
"Pangani",.4638923
"Rombo",.6393678
"Rorya",.3440594
"Ruangwa",.4408015
"Rufiji",.4428571
"Rungwe",.5558011
"Same",.5947787
"Sengerema",.4032389
"Serengeti",.3491865
"Shinyanga Rural",.2928437
"Shinyanga Urban",.5603248
"Siha",.4756809
"Sikonge",.2509753
"Simanjiro",.4264706
"Singida Rural",.4654971
"Singida Urban",.489858
"Songea Rural",.4748744
"Songea Urban",.496361
"Sumbawanga Urban",.4716267
"Tabora Urban",.4799578
"Tandahimba",.3277108
"Tanga Urban",.6326798
"Tarime",.2989691
"Temeke",.6210526
"Tunduru",.3697997
"Ukerewe",.402148
"Ulanga",.4708223
"Urambo",.3578629
"Uyui",.3731183
